Movie1,Movie2,Support,Confidence,Lift
The Wolf of Wall Street,inception,0.002678810608090008,0.4651162790697674,4.718149646107178
The Lord of the Rings: The Return of the King,inception,0.0032145727297080095,0.4615384615384615,4.681856187290969
Comedy nights with Kapil,The Silence of the Lambs,0.0028127511384945084,0.24705882352941175,4.669724497393894
Once Upon a Time in America,inception,0.0030806321993035093,0.46,4.66625
The Dark Knight,The Intouchables,0.0030806321993035093,0.6052631578947368,4.663462060724567
The Lord of the Rings: The Return of the King,Interstellar,0.0032145727297080095,0.23076923076923075,4.656548856548856
Comedy nights with Kapil,The Lord of the Rings: The Fellowship of the Ring,0.002276989016876507,0.2786885245901639,4.654784171342648
Harry Potter 1,Harry Potter 2,0.0057594428073935175,0.36752136752136755,4.642833383950135
The Silence of the Lambs,The Intouchables,0.002009107956067506,0.6,4.6229102167182665
inception,The Intouchables,0.002009107956067506,0.6,4.6229102167182665
Comedy nights with Kapil,The Dark Knight,0.002678810608090008,0.2222222222222222,4.6214794181368
Comedy nights with Kapil,The Intouchables,0.002678810608090008,0.2222222222222222,4.6214794181368
Comedy nights with Kapil,Prision Break,0.002009107956067506,0.2777777777777778,4.618906211333829
The Silence of the Lambs,The Lord of the rings,0.0032145727297080095,0.3287671232876712,4.587991294328511
inception,The Intouchables,0.003750334851326011,0.22047244094488186,4.5850898164191864
inception,The Dark Knight,0.003750334851326011,0.22047244094488186,4.5850898164191864
The Silence of the Lambs,The Lord of the rings,0.0032145727297080095,0.3287671232876712,4.579431609077898
The Lord of the Rings: The Fellowship of the Ring,The Silence of the Lambs,0.002009107956067506,0.24193548387096772,4.572886892609228
The Dark Knight,Comedy nights with Kapil,0.00334851326011251,0.30120481927710846,4.561450670837509
inception,The Intouchables,0.0021430484864720066,0.21917808219178087,4.5581714809020495
inception,The Dark Knight,0.0021430484864720066,0.21917808219178087,4.5581714809020495
The Dark Knight,Comedy nights with Kapil,0.00334851326011251,0.30120481927710846,4.552216965026097
Prision Break,Interstellar,0.0021430484864720066,0.22535211267605634,4.547240197944423
Once Upon a Time in America,Comedy nights with Kapil,0.002009107956067506,0.3,4.543204868154159
Prision Break,Comedy nights with Kapil,0.002009107956067506,0.3,4.543204868154159
inception,Billa,0.002678810608090008,0.43478260869565216,4.539981757373061
Once Upon a Time in America,Comedy nights with Kapil,0.002009107956067506,0.3,4.534008097165992
Prision Break,Comedy nights with Kapil,0.002009107956067506,0.3,4.534008097165992
Harry Potter 1,The Lord of the rings,0.005089740155371015,0.3247863247863248,4.532438693186357
The Departed,The Lord of the Rings: The Fellowship of the Ring,0.0021430484864720066,0.27118644067796616,4.529480908504911
Harry Potter 1,The Lord of the rings,0.005089740155371015,0.3247863247863248,4.523982650848323
inception,Interstellar,0.0025448700776855076,0.22352941176470587,4.5104610492845785
Interstellar,inception,0.004018215912135012,0.4411764705882353,4.475303708439897
Comedy nights with Kapil,The Intouchables,0.002009107956067506,0.576923076923077,4.445105977613718
Whiplash,Comedy nights with Kapil,0.0024109295472810074,0.2903225806451613,4.3966498724072505
The Lord of the rings,Billa,0.0032145727297080095,0.42105263157894735,4.396613912403386
Whiplash,Comedy nights with Kapil,0.0024109295472810074,0.2903225806451613,4.38774977145096
Prision Break,inception,0.0021430484864720066,0.4324324324324325,4.386603995299648
inception,The Lord of the Rings: The Fellowship of the Ring,0.0030806321993035093,0.2613636363636364,4.365415904006508
The Silence of the Lambs,Comedy nights with Kapil,0.0028127511384945084,0.28767123287671237,4.356497818777961
The Silence of the Lambs,Comedy nights with Kapil,0.0028127511384945084,0.28767123287671237,4.3476789972824585
Casablanca,The Lion King,0.0030806321993035093,0.2987012987012987,4.347181084023189
inception,The Lord of the Rings: The Fellowship of the Ring,0.004420037503348513,0.25984251968503935,4.340009512233789
The Lion King,Schindler's List,0.0030806321993035093,0.21904761904761905,4.337956296576986
Comedy nights with Kapil,The Lord of the Rings: The Fellowship of the Ring,0.0028127511384945084,0.2592592592592593,4.330267627806778
The Lord of the rings,The Lord of the Rings: The Fellowship of the Ring,0.0024109295472810074,0.7500000000000001,4.29080459770115
